City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Blind River,CA,46.1834,-82.9582,86.11,48,97,6.53,overcast clouds
1,Auki,SB,-8.7676,160.7034,81.54,74,13,2.93,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,35.71,69,0,9.22,clear sky
3,Kalulushi,ZM,-12.8378,28.0919,56.26,65,12,4.32,few clouds
4,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,40,12.66,scattered clouds
5,Ponta Do Sol,PT,32.6667,-17.1,73.13,70,2,3.74,clear sky
6,Khatanga,RU,71.9667,102.5,52.65,81,10,13.56,clear sky
7,Balykshi,KZ,47.0667,51.8667,71.6,83,40,8.95,mist
8,Shimoda,JP,34.6667,138.95,80.1,78,100,6.15,overcast clouds
9,Busselton,AU,-33.65,115.3333,51.24,68,84,13.02,broken clouds
10,Jackson,US,42.4165,-122.8345,89.15,29,0,3.44,clear sky
11,Guerrero Negro,MX,27.9769,-114.0611,75.81,58,11,16.04,few clouds
12,Albany,US,42.6001,-73.9662,92.28,27,21,8.25,few clouds
13,Hasaki,JP,35.7333,140.8333,75.6,83,99,10.22,overcast clouds
14,Carnarvon,AU,-24.8667,113.6333,63.63,62,57,17.34,broken clouds
15,Zwedru,LR,6.0667,-8.1281,72.79,82,99,3.38,overcast clouds
16,Beringovskiy,RU,63.05,179.3167,44.78,82,100,14.58,overcast clouds
17,New Norfolk,AU,-42.7826,147.0587,49.91,85,100,2.53,overcast clouds
18,Slave Lake,CA,55.2834,-114.769,73.44,45,59,8.23,broken clouds
19,Tabuk,PH,17.4189,121.4443,75.56,91,99,1.92,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,70.32,40,75,20.0,broken clouds
21,Tytuvenai,LT,55.6,23.2,64.31,90,100,6.71,light rain
22,Harnosand,SE,62.6323,17.9379,59.02,67,99,5.73,overcast clouds
23,Wajir,KE,1.7471,40.0573,73.94,65,76,20.45,broken clouds
24,Jamestown,US,42.097,-79.2353,80.51,73,75,6.91,light rain
25,Mataura,NZ,-46.1927,168.8643,34.48,77,92,1.68,overcast clouds
26,Palmer,US,42.1584,-72.3287,94.55,37,20,9.22,few clouds
27,Ushuaia,AR,-54.8,-68.3,33.46,93,100,19.57,snow
28,Bredasdorp,ZA,-34.5322,20.0403,47.34,78,19,4.38,few clouds
29,Esperance,AU,-33.8667,121.9,51.64,67,100,24.27,overcast clouds
30,Victor Harbor,AU,-35.5667,138.6167,54.68,73,0,7.72,clear sky
31,Rikitea,PF,-23.1203,-134.9692,72.59,63,0,6.82,clear sky
32,Georgetown,MY,5.4112,100.3354,78.73,94,40,6.91,scattered clouds
33,Tasiilaq,GL,65.6145,-37.6368,39.36,82,100,5.88,overcast clouds
34,Qaanaaq,GL,77.484,-69.3632,37.58,99,100,0.78,overcast clouds
35,Padang,ID,-0.9492,100.3543,75.25,85,100,4.5,overcast clouds
36,Sangar,RU,63.9242,127.4739,66.79,72,13,6.44,few clouds
37,Esso,RU,55.9333,158.7,64.09,48,7,6.46,clear sky
38,Severo-Kurilsk,RU,50.6789,156.125,56.16,89,47,3.47,scattered clouds
39,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,0,14.97,clear sky
40,Lasa,IT,46.6166,10.7002,64.51,91,66,3.6,broken clouds
41,Iquitos,PE,-3.7481,-73.2472,80.02,74,77,1.52,broken clouds
42,Torbay,CA,47.6666,-52.7314,81.37,69,75,12.66,broken clouds
43,Hermanus,ZA,-34.4187,19.2345,45.81,72,47,4.52,scattered clouds
44,Victoria,HK,22.2855,114.1577,85.53,75,38,9.24,scattered clouds
45,East London,ZA,-33.0153,27.9116,58.28,65,77,18.45,broken clouds
46,Bluff,NZ,-46.6,168.3333,40.28,83,50,5.55,scattered clouds
47,Port Lincoln,AU,-34.7333,135.8667,55.67,66,69,14.65,broken clouds
48,Tigzirt,DZ,36.8886,4.1198,80.73,56,0,8.61,clear sky
49,Macau,MO,22.2006,113.5461,84.96,73,28,9.17,scattered clouds
50,Riyadh,SA,24.6877,46.7219,96.94,14,93,8.32,overcast clouds
51,Bathsheba,BB,13.2167,-59.5167,84.81,80,20,16.11,few clouds
52,Avarua,CK,-21.2078,-159.775,72.16,71,99,20.15,overcast clouds
53,Havelock,US,34.8791,-76.9013,90.05,76,20,10.36,few clouds
54,Elizabeth City,US,36.2946,-76.2511,95.02,61,0,11.5,clear sky
55,Liaocheng,CN,36.4439,115.9647,70.97,89,0,7.14,clear sky
56,Provideniya,RU,64.3833,-173.3,46.67,74,95,7.58,overcast clouds
57,Saint George,US,37.1041,-113.5841,103.24,19,74,17.38,broken clouds
58,Aswan,EG,24.0934,32.907,90.7,14,0,11.5,clear sky
59,Kaitangata,NZ,-46.2817,169.8464,37.51,77,48,2.89,scattered clouds
60,Hobart,AU,-42.8794,147.3294,50.25,92,0,1.14,clear sky
61,Vardo,NO,70.3705,31.1107,51.71,87,70,15.77,broken clouds
62,Chokurdakh,RU,70.6333,147.9167,56.21,47,89,12.3,overcast clouds
63,Barrow,US,71.2906,-156.7887,37.42,81,100,13.8,haze
64,Jablah,SY,35.3614,35.9256,78.91,65,0,5.57,clear sky
65,Xining,CN,36.6167,101.7667,52.77,60,0,3.33,clear sky
66,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,14.97,scattered clouds
67,Luderitz,NA,-26.6481,15.1594,58.82,65,0,21.72,clear sky
68,Ixtapa,MX,20.7,-105.2,90.63,62,40,6.91,scattered clouds
69,Zhuhai,CN,22.2769,113.5678,86.86,74,20,3.44,few clouds
70,Vaini,TO,-21.2,-175.2,71.44,66,100,22.35,overcast clouds
71,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,84,4,16.37,clear sky
72,Proletariy,RU,58.4342,31.7046,64.89,96,97,4.52,overcast clouds
73,Les Cayes,HT,18.2,-73.75,83.12,74,75,4.56,broken clouds
74,Pangnirtung,CA,66.1451,-65.7125,54.41,59,12,3.89,few clouds
75,Sinnamary,GF,5.3833,-52.95,79.59,82,99,8.21,overcast clouds
76,Upernavik,GL,72.7868,-56.1549,42.93,96,100,4.76,overcast clouds
77,Kapaa,US,22.0752,-159.319,78.71,69,13,13.91,few clouds
78,Atuona,PF,-9.8,-139.0333,77.54,77,35,19.1,scattered clouds
79,San Quintin,MX,30.4833,-115.95,72.0,65,27,10.58,scattered clouds
80,Yulara,AU,-25.2406,130.9889,56.25,39,0,7.58,clear sky
81,Dikson,RU,73.5069,80.5464,48.76,79,78,11.07,broken clouds
82,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,59.59,77,20,2.24,few clouds
83,Los Llanos De Aridane,ES,28.6585,-17.9182,71.94,82,17,2.3,few clouds
84,Nikolskoye,RU,59.7035,30.7861,66.09,98,52,3.67,broken clouds
85,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,81,5.01,broken clouds
86,Neuquen,AR,-38.9516,-68.0591,55.29,62,0,3.44,clear sky
87,Inhambane,MZ,-23.865,35.3833,65.71,80,0,7.65,clear sky
88,Camacha,PT,33.0833,-16.3333,69.22,78,20,3.44,few clouds
89,Omsukchan,RU,62.5333,155.8,55.83,54,0,8.16,clear sky
90,Suhbaatar,MN,50.2314,106.2078,55.11,89,39,3.69,scattered clouds
91,Poronaysk,RU,49.2167,143.1167,57.06,98,100,2.06,overcast clouds
92,Minab,IR,27.1467,57.0801,89.1,76,100,7.87,overcast clouds
93,Lavrentiya,RU,65.5833,-171.0,42.69,90,100,10.47,overcast clouds
94,Bethel,US,41.3712,-73.414,94.1,24,10,5.73,clear sky
95,Norman Wells,CA,65.282,-126.8329,63.86,65,100,6.2,overcast clouds
96,Thompson,CA,55.7435,-97.8558,64.56,52,75,10.36,broken clouds
97,Korla,CN,41.7597,86.1469,85.62,16,0,5.75,clear sky
98,Yingcheng,CN,30.95,113.55,71.76,93,6,2.55,clear sky
99,San Carlos De Bariloche,AR,-41.1456,-71.3082,41.25,75,75,14.97,broken clouds
100,Asfi,MA,32.2994,-9.2372,78.91,68,99,13.22,overcast clouds
101,Cape Town,ZA,-33.9258,18.4232,55.38,67,20,10.36,few clouds
102,Sirpur,IN,19.4833,79.6,74.17,96,90,4.0,overcast clouds
103,Goderich,CA,43.7501,-81.7165,82.72,61,57,12.66,broken clouds
104,Port Alfred,ZA,-33.5906,26.891,53.19,80,94,5.99,overcast clouds
105,Cherskiy,RU,68.75,161.3,59.4,44,14,1.39,few clouds
106,Socorro,US,31.6546,-106.3033,98.85,18,6,7.78,clear sky
107,Noumea,NC,-22.2763,166.4572,75.18,99,96,6.85,overcast clouds
108,Airai,TL,-8.9266,125.4092,50.58,85,70,2.21,broken clouds
109,Chapais,CA,49.7834,-74.8492,64.18,68,71,8.41,broken clouds
110,Kulhudhuffushi,MV,6.6221,73.07,81.3,76,99,15.82,overcast clouds
111,Calbiga,PH,11.6247,125.0164,76.32,94,98,2.01,overcast clouds
112,Providencia,MX,28.7167,-111.5833,97.21,45,77,20.31,broken clouds
113,Asau,RO,46.4333,26.4,75.96,73,52,2.89,broken clouds
114,College,US,64.8569,-147.8028,65.21,52,75,5.75,broken clouds
115,Butaritari,KI,3.0707,172.7902,81.36,79,23,15.39,light rain
116,Coahuayana,MX,18.7333,-103.6833,87.62,63,100,5.37,overcast clouds
117,Pisco,PE,-13.7,-76.2167,60.85,88,100,5.75,mist
118,Miquelon,PM,47.0975,-56.3814,61.81,97,73,10.69,broken clouds
119,Ust-Ilimsk,RU,58.0006,102.6619,58.77,96,97,4.23,overcast clouds
120,Severo-Yeniseyskiy,RU,60.3725,93.0408,44.92,94,83,6.04,broken clouds
121,Khuzhir,RU,53.1939,107.3397,51.96,94,86,2.01,overcast clouds
122,Najran,SA,17.4924,44.1277,83.05,62,87,14.29,overcast clouds
123,Tuatapere,NZ,-46.1333,167.6833,42.04,89,59,3.27,broken clouds
124,Taksimo,RU,56.3444,114.8794,66.47,82,20,1.63,few clouds
125,Havoysund,NO,70.9963,24.6622,50.23,92,100,21.39,overcast clouds
126,Arcachon,FR,44.5875,-1.0519,73.72,73,0,8.05,clear sky
127,Shirokiy,RU,49.758,129.523,63.41,93,24,4.94,few clouds
128,Port Elizabeth,ZA,-33.918,25.5701,54.32,87,30,5.01,scattered clouds
129,Kerouane,GN,9.2667,-9.0167,69.13,96,90,1.95,overcast clouds
130,Corrooy,PH,16.7962,120.4453,77.27,80,55,4.85,broken clouds
131,Liverpool,GB,53.4106,-2.9779,68.14,79,75,17.27,broken clouds
132,Lebu,CL,-37.6167,-73.65,52.03,93,100,4.99,overcast clouds
133,Berlevag,NO,70.8578,29.0864,51.6,87,100,18.41,overcast clouds
134,Mar Del Plata,AR,-38.0023,-57.5575,54.09,58,100,4.61,fog
135,Mao,ES,39.8885,4.2658,79.36,89,0,4.61,clear sky
136,Kaithal,IN,29.8,76.3833,84.96,65,81,7.65,broken clouds
137,Acapulco,MX,16.8634,-99.8901,87.62,70,40,10.36,scattered clouds
138,Bengkulu,ID,-3.8004,102.2655,74.93,91,91,6.55,overcast clouds
139,Castro,BR,-24.7911,-50.0119,60.06,66,100,2.68,overcast clouds
140,Fairbanks,US,64.8378,-147.7164,64.36,52,20,5.75,few clouds
141,Constitucion,CL,-35.3333,-72.4167,54.64,87,100,2.35,overcast clouds
142,Amapa,BR,1.0,-52.0,77.41,79,95,1.59,overcast clouds
143,Evensk,RU,61.95,159.2333,56.66,50,6,14.16,clear sky
144,Xuddur,SO,4.1213,43.8894,70.93,75,66,20.51,broken clouds
145,Clyde River,CA,70.4692,-68.5914,44.46,74,100,1.92,overcast clouds
146,Hami,CN,42.8,93.45,85.35,21,41,5.91,scattered clouds
147,Kamenka,RU,51.3223,42.7678,59.32,95,99,6.91,overcast clouds
148,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,6.91,broken clouds
149,Huarmey,PE,-10.0681,-78.1522,65.41,79,66,9.93,broken clouds
150,Cochrane,CA,51.1834,-114.4687,72.39,57,19,13.27,few clouds
151,Tabatinga,BR,-4.2525,-69.9381,84.29,83,40,10.36,scattered clouds
152,Fallon,US,39.4735,-118.7774,98.92,8,20,9.22,smoke
153,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,4.61,overcast clouds
154,Nizhniy Tsasuchey,RU,50.5167,115.1333,63.7,78,100,7.16,overcast clouds
155,Zhangjiakou,CN,40.81,114.8794,68.7,60,6,1.77,clear sky
156,Bilma,NE,18.6853,12.9164,93.56,21,8,6.35,clear sky
157,Mahebourg,MU,-20.4081,57.7,69.94,73,51,15.86,broken clouds
158,Geraldton,AU,-28.7667,114.6,55.81,67,40,12.66,scattered clouds
159,Kodiak,US,57.79,-152.4072,49.69,96,100,11.05,moderate rain
160,Mana,GF,5.6592,-53.7767,78.76,85,98,8.14,overcast clouds
161,Kushima,JP,31.4583,131.2333,77.2,79,95,2.3,overcast clouds
162,San Luis,AR,-33.295,-66.3356,66.02,52,55,8.46,broken clouds
163,Kiunga,PG,-6.1219,141.2906,73.85,99,100,2.39,heavy intensity rain
164,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,93,100,13.8,light rain
165,Peniche,PT,39.3558,-9.3811,66.11,90,0,11.16,clear sky
166,Velizh,RU,55.6056,31.1967,63.0,94,81,4.63,light rain
167,Ancud,CL,-41.8697,-73.8203,46.22,91,100,1.32,overcast clouds
168,Musoma,TZ,-1.5,33.8,69.42,67,46,3.04,scattered clouds
169,Vao,NC,-22.6667,167.4833,73.65,87,85,17.72,overcast clouds
170,Mehamn,NO,71.0357,27.8492,50.23,93,100,20.65,overcast clouds
171,Cap Malheureux,MU,-19.9842,57.6142,70.81,75,26,21.07,scattered clouds
172,Svetlogorsk,BY,52.6333,29.7333,65.3,66,69,7.07,broken clouds
173,Upata,VE,8.0086,-62.3989,75.99,81,80,1.28,broken clouds
174,Shenkursk,RU,62.1091,42.896,64.13,80,21,6.06,few clouds
175,Arlit,NE,18.7369,7.3853,94.14,26,92,9.98,overcast clouds
176,Zambezi,ZM,-13.5432,23.1047,64.67,36,84,2.73,broken clouds
177,Ulladulla,AU,-35.35,150.4667,50.85,87,26,3.33,scattered clouds
178,Tiksi,RU,71.6872,128.8694,48.74,80,29,5.7,scattered clouds
179,Manavalakurichi,IN,8.1333,77.3,76.89,86,81,16.04,broken clouds
180,Bosaso,SO,11.2842,49.1816,92.52,38,94,23.55,overcast clouds
181,Lompoc,US,34.6391,-120.4579,74.84,72,0,18.01,clear sky
182,Sao Felix Do Xingu,BR,-6.6447,-51.995,79.65,42,98,1.63,overcast clouds
183,Winslow,US,35.0242,-110.6974,98.78,18,0,9.22,clear sky
184,Alice Springs,AU,-23.7,133.8833,53.83,29,0,9.48,clear sky
185,Dingle,PH,10.9995,122.6711,77.07,91,82,1.57,broken clouds
186,Luanda,AO,-8.8368,13.2343,68.0,94,40,3.44,scattered clouds
187,Saint-Philippe,RE,-21.3585,55.7679,69.39,84,55,12.15,light rain
188,Kruisfontein,ZA,-34.0033,24.7314,50.88,81,42,18.23,light rain
189,Saskylakh,RU,71.9167,114.0833,53.94,80,56,3.51,broken clouds
190,Avera,US,33.194,-82.5271,92.71,42,51,1.83,broken clouds
191,Talnakh,RU,69.4865,88.3972,63.21,60,81,4.7,broken clouds
192,Lakes Entrance,AU,-37.8811,147.981,50.38,73,77,4.16,broken clouds
193,Nanortalik,GL,60.1432,-45.2371,43.54,92,95,10.74,overcast clouds
194,Hinatuan,PH,8.3722,126.3342,75.67,94,100,4.74,overcast clouds
195,Tamalin,MX,21.35,-97.8,90.18,51,53,16.24,broken clouds
196,Nelson Bay,AU,-32.7167,152.15,53.1,99,20,8.01,few clouds
197,San Cristobal,VE,7.7669,-72.225,80.78,48,14,3.76,few clouds
198,Ribeira Grande,PT,38.5167,-28.7,75.6,88,40,10.36,scattered clouds
199,Komsomolskiy,UZ,40.4272,71.7189,84.92,30,2,11.5,clear sky
200,Mokrousovo,RU,55.8103,66.7653,56.34,75,94,3.22,overcast clouds
201,Jeremie,HT,18.65,-74.1167,83.55,70,76,2.42,broken clouds
202,Novikovo,RU,51.1537,37.8879,60.98,92,23,5.88,few clouds
203,Sao Filipe,CV,14.8961,-24.4956,77.54,85,100,4.97,light rain
204,Ondjiva,AO,-17.0667,15.7333,61.66,34,0,7.52,clear sky
205,Manokwari,ID,-0.8667,134.0833,77.92,81,96,5.12,overcast clouds
206,Krasnyy Yar,RU,46.5331,48.3456,64.33,62,96,8.93,overcast clouds
207,Bam,IR,29.106,58.357,91.94,22,76,6.31,broken clouds
208,Solhan,TR,38.9634,41.0293,61.18,48,0,7.27,clear sky
209,Lagoa,PT,39.05,-27.9833,72.84,89,24,9.75,few clouds
210,Hithadhoo,MV,-0.6,73.0833,81.27,73,100,5.44,overcast clouds
211,Buraydah,SA,26.326,43.975,93.65,13,42,8.61,scattered clouds
212,Esik,KZ,43.3552,77.4525,73.63,36,1,7.25,clear sky
213,La Asuncion,VE,11.0333,-63.8628,80.13,74,0,12.62,clear sky
214,Vostok,RU,46.4856,135.8833,60.87,95,100,0.6,overcast clouds
215,Kathu,TH,7.9178,98.3332,84.69,94,100,6.2,light rain
216,Radstadt,AT,47.3833,13.45,67.17,100,100,2.42,overcast clouds
217,Biak,ID,-0.9131,122.8766,75.02,86,53,5.3,broken clouds
218,Zyryanka,RU,65.75,150.85,66.09,38,0,6.44,clear sky
219,Saint-Pierre,RE,-21.3393,55.4781,69.78,77,48,9.37,scattered clouds
220,Cidreira,BR,-30.1811,-50.2056,62.04,98,52,9.35,broken clouds
221,Zhanaozen,KZ,43.3,52.8,71.67,60,78,20.42,light rain
222,Ostrovnoy,RU,68.0531,39.5131,50.0,90,97,4.18,overcast clouds
223,Milton,US,34.1322,-84.3007,94.12,35,14,4.68,few clouds
